amfi_code,scheme_name,max_drawdown_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,-24.7344408806733
100025,HDFC Short Term Debt Fund - Regular - Growth,-4.308263824636346
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-16.21720857464485
101206,ABSL Frontline Equity Fund - Regular - Growth,-11.291596329323077
101207,ABSL Small Cap Fund - Regular - Growth,-35.44691649336603
101208,ABSL Liquid Fund - Regular - Growth,-0.16224980244717319
102885,UTI Nifty 50 Index Fund - Regular - Growth,-10.859862152502323
102886,UTI Mid Cap Fund - Regular - Growth,-28.00112356639287
102887,UTI Flexi Cap Fund - Regular - Growth,-21.53982711238323
118632,Nippon India Large Cap Fund - Regular - Growth,-17.41407508665723
118633,Nippon India Large Cap Fund - Direct - Growth,-18.629743138595508
118634,Nippon India Small Cap Fund - Regular - Growth,-23.34488614483311
118635,Nippon India ETF Nifty 50 BeES,-11.650624505409093
118636,Nippon India Gilt Securities Fund - Regular - Growth,-8.316361763638701
119092,Axis Bluechip Fund - Regular - Growth,-14.401617909337267
119093,Axis Bluechip Fund - Direct - Growth,-21.75139637014823
119094,Axis Midcap Fund - Regular - Growth,-20.960883862039193
119095,Axis Small Cap Fund - Regular - Growth,-51.67775370852657
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-4.328728923970098
119551,SBI Bluechip Fund - Regular Plan - Growth,-15.012385498645333
119552,SBI Bluechip Fund - Direct Plan - Growth,-11.8034935027643
119598,SBI Small Cap Fund - Regular Plan - Growth,-28.706005721764555
119599,SBI Small Cap Fund - Direct Plan - Growth,-52.574221170128496
120503,ICICI Pru Bluechip Fund - Regular - Growth,-13.897862823061635
120504,ICICI Pru Bluechip Fund - Direct - Growth,-12.588275606922513
120505,ICICI Pru Midcap Fund - Regular - Growth,-18.188513572116292
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-19.82565826298267
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.09773140045925681
120841,Kotak Bluechip Fund - Regular - Growth,-17.573614164687285
120842,Kotak Emerging Equity Fund - Regular - Growth,-24.003511326274882
120843,Kotak Flexicap Fund - Regular - Growth,-12.97396816518679
120844,Kotak Liquid Fund - Regular - Growth,-0.11629327956168764
125497,HDFC Top 100 Fund - Direct Plan - Growth,-15.200013055606393
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-21.117279560132122
148567,Mirae Asset Large Cap Fund - Regular - Growth,-11.26572907502827
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-15.27259422823477
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-16.396742946932633
149322,DSP Top 100 Equity Fund - Regular - Growth,-14.844576917771747
149323,DSP Midcap Fund - Regular - Growth,-17.24810575345138
149324,DSP Small Cap Fund - Regular - Growth,-31.17190030063422
